ID,Name,Description,SFW
1,Preferences,"Frequency, length, and intensity of sex.",1
2,Intimacy & Communication,"Acts that are not explicitly sexual, such as baths and massages.",1
3,Basics,Just the basics,1
4,Toys,"Vibrators, dildos, and cock rings, oh my!",0
5,BDSM,"Bondage, dominance/submission, and sadism/masochism.",0
6,Anal,Butt stuff.,0
7,Fetish,"Miscellaneous fetishes, such as watersports and body worship.",0
8,Group,Group sex and swinging.,0
9,Location,Where you do the do.,1
10,Sensory,"Temperature play, sensory deprivation, etc.",0
11,Roleplay,Cop and robber? Nurse? Let your fantasies run wild.,0
12,Body Fluids,Slippin' and Slidin',0
13,Explicit Basics,For those not to be put in a demo,0
